Organization,Feedback Content,Feedback Link,Page
Europe Technology Policy Committee of the Association for Computing Machinery (United States),"HIGHLIGHTS OF COMMENTS BY THE EUROPE TECHNOLOGY POLICY COMMITTEE OF THE ASSOCIATION FOR COMPUTING MACHINERY * (PLEASE SEE ATTACHED DOCUMENT FOR EUROPE TPC'S FULL ANALYSIS OF THE PROPOSAL) The Association for Computing Machinery (ACM) is the world’s largest and longest established professional society of individuals involved in all aspects of computing. It annually bestows the ACM A.M. Turing Award, often popularly referred to as the “Nobel...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665448_en,13
Renaissance Numérique (France),"Please, find attached the contribution of think tank Renaissance Numérique and of the Chair on the Legal and Regulatory Implications of AI of Grenoble Alpes University related to the proposed Artificial Intelligence Act. This contribution focuses on specific dispositions of the text which raise questions with regard to the implementation of the future regulation. Other aspects of the regulation, such as those related to “real time” remote...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665447_en,14
Fédération nationale des travaux publics (FNTP) (France),"L’approche par les risques de la Commission européenne semble être la meilleure approche dans la mesure où elle favorise la confiance dans l’intelligence artificielle sans entraver son développement. En revanche, il est essentiel de garder une marge d’innovation. Une attention particulière doit donc être portée aux définitions, notamment celles des systèmes IA et des systèmes à haut risque, car les obligations et exigences afférentes sont...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665445_en,14
Mediaset Italia S.p.A. (Italy),see attached file,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665444_en,14
Liberty Global (Netherlands),"Liberty Global welcomes the opportunity to comment on the European Commission (EC)’s consultation of the proposal for a Regulation laying down harmonized rules on artificial intelligence (the proposal) and its annexes. In previous submissions, Liberty Global supported the EC’s comprehensive evaluation of the regulatory environment applicable to nascent digital technologies such as robotics, Internet of things and particularly AI. Liberty...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665443_en,14
Huawei Technologies (Belgium),"Huawei welcomes the opportunity to provide feedback on the European Commission’s proposal for an Artificial Intelligence Act (hereinafter referred to as the “AI Act”), a crucial piece of legislation which will support the EU in fulfilling its digital ambitions, foster the single market, and consolidate Europe’s position as a leader in the digital sphere. We strongly support the Commission’s objective to lay down harmonised rules for AI...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665442_en,14
SEMI EUROPE (Germany),"SEMI Europe welcomes the European Commission’s “Proposal for Regulation laying down harmonized rules on Artificial Intelligence” and appreciates the opportunity to provide its feedback on this crucial matter for Europe’s microelectronics industry. With the rise of Artificial Intelligence (AI), the European Union (EU) remains determined to play a leading role in setting a global standard in the responsible development and use of AI...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665441_en,14
Ηοmo Digitalis (Greece),"Παρακαλούμε όπως βρείτε συνημμένη την τοποθέτηση της Homo Digitalis στην ανοιχτή διαβούλευση της Ευρωπαϊκής Επιτροπής για τις διατάξεις του προτεινόμενου κανονισμού για την Τεχνητή Νοημοσύνη. Με εκτίμηση, Η συντακτική ομάδα της Homo Digitalis",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665440_en,14
Banco Bilbao Vizcaya Argentaria S.A. (Spain),"We welcome this opportunity to provide feedback to this important regulatory proposal that will undoubtedly influence the future development of AI in the EU. Although the proposed Regulation is quite balanced, we have identified some areas where there is room for improvement: Legal uncertainty. Some provisions in this draft regulation are not specific enough, which could give rise to different interpretations by authorities and market...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665439_en,14
Merck KGaA (Germany),Please see attached document.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665438_en,14
"ThinkTech, e.V. (Germany)","Please see the attached document for a full analysis. Below is a summary of this analysis. The European Commission’s proposal for a regulation on artificial intelligence is motivated by two worthy goals: promoting technological innovation and protecting fundamental rights. However, elements of the proposal undermine these goals. Ambiguous key terms would result in legal uncertainty, which in turn would undermine investment and innovation...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665437_en,14
Verband der TÜV e. V. (Germany),"Der TÜV-Verband begrüßt die Initiative der Europäischen Kommission, ein verbindliches Rahmenwerk zur Regulierung von Systemen, die auf dem Einsatz Künstlicher Intelligenz basieren, zu schaffen. Ein robuster Regulierungsrahmen ist die Grundvoraussetzung für das notwendige Vertrauen der Menschen in KI-basierte Produkte und Systeme und damit die Akzeptanz dieser neuen digitalen Technologie. Aus Sicht des TÜV-Verbands ist der vorliegende...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665436_en,15
Splunk (Belgium),"The development of artificial intelligence has major potential to improve business processes and services for citizens, but there are a number of complex issues associated with its adoption. Splunk supports a flexible policy framework that builds confidence and trust in AI systems, encourages investment in research and development, strengthens cybersecurity and privacy protections, and takes into account different types of AI and machine...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665433_en,15
BEUC - The European Consumer Organisation (Belgium),Please find BEUC's response to the consultation attached.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665432_en,15
Związek Pracodawców Business & Science Poland (Poland),"Business & Science Poland (BSP) welcomes the possibility to comment on the proposal for a Regulation of the European Parliament and of the Council on laying down harmonized rules on Artificial Intelligence (Artificial Intelligence Act) and amending certain union legislative acts (COM (2021) 206 final). We represent leading Polish entities particularly from energy-intensive industry, air transport, cyber and IT sector, postal services, and...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665431_en,15
Vrije Universiteit Brussel (VUB) and CY Cergy Paris University (Belgium),"While generally appreciating and supporting the AI Act, I suggest six topics that invite for additional considerations and hopefully, might help making the AI Act even better. These topics are: 1. THE ROLE OF THE SUBJECTS WHO ARE AFFECTED BY THE DECISIONS MADE WITH THE USE OF AI SYSTEMS SHALL BE DEFINED 2. THE CONCEPT OF AI USER SHALL BE CLARIFIED (ESPECIALLY IN MULTI-STAKEHOLDERS ENVIRONMENTS) 3. ‘TRANSPARENCY’ TERMINOLOGY SHALL BE USED...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665430_en,15
Federation of German Consumer Organisations (vzbv) (Germany),"vzbv welcomes that the European Commission proposes a regulation laying down har-monised rules on artificial intelligence (AI) in the (Artificial Intelligence Act (AIA)). The AIA must mitigate AI-related risks for consumers. To achieve this goal and accomplish the European Commission’s stated objective of a ‘trusted AI’, vzbv recommends to in-crease the focus on consumers of the AIA and to strengthen the possibilities for inde-pendent...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665425_en,15
Glovo (Spain),Please find Glovo's contribution attached Glovo’s contribution to the public consultation on the Artificial Intelligence Glovo welcomes the European Commission’s proposal for an Artificial Intelligence Act as this represents an opportunity for the EU to make the best of AI applications and a step forward towards more innovation and algorithmic transparency. Our response to the public consultation will outline Glovo’s role in AI innovation...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665424_en,15
The Polish Confederation Lewiatan (Poland),Please find enclosed comments of the Polish Confederation Lewiatan.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665421_en,15
European Savings and Retail Banking Group (Belgium),Please find attached the ESBG feedback on the European Commission's draft Artificial Intelligence Act.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665420_en,15
NEC (Japan),Please find attached NEC’s feedback on the EU Draft AI Regulation,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665416_en,15
Japan Electronics and Information Technology Industries Association(JEITA) (Japan),"As Japan’s leading ICT association, JEITA supports the European Commission’s will to adopt risk-based approach and harmonize the Regulation with the existing EU legislations. Our views are as below and attached position paper. 1. Basic approach • Assessment of AI risk A growing number of cases have proven that machine can provide sufficiently low accident rates in area such as automated driving and medical systems. Based on the concept of...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665415_en,16
VDMA (Germany),"The Mechanical Engineering Industry Association (VDMA) appreciates the opportunity to provide feedback to the consultation on the proposal for the Artificial Intelligence Act. For our companies, AI is a key technology for competitiveness and sustainability. Our export-oriented sector brings production equipment with embedded AI to a variety of industrial customers in EU and worldwide. VDMA, therefore, supports the goal of creating a...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665411_en,16
Developers Alliance (United States),"Developers Alliance welcomes the opportunity to provide feedback on the AI Act proposal. We commend the objectives and the risk-based approach of the proposal. We call on the EU co-legislators, however, to address a series of critical issues so the regulation will be fit for purpose and to reduce the competitive disadvantage for European developers: - set legally clear definitions and limit the scope to clearly defined high risk use cases of...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665410_en,16
AW AlgorithmWatch gGmbH (Germany),"AlgorithmWatch welcomes the European Commission’s efforts to develop a framework for the governance of AI-based systems that is based on European values and the protection of fundamental rights. However, we fear that in its current version, the draft Artificial Intelligence Act would not reliably and comprehensively reach the objectives it is intended to. We therefore call upon the Council and the Parliament to take appropriate measures to...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665406_en,16
ACCIS (Belgium),"The Association of Consumer Credit Information Suppliers (ACCIS) represents the largest group of credit reference agencies in the world. ACCIS brings together 40 members across 28 European countries and 11 associate and affiliate members from all other continents. Building on the vast experience of the credit reference industry with data management and data analytics, ACCIS acknowledges the Commission’s efforts to address both the benefits...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665403_en,16
"Centre for Commercial Law, University of Aberdeen (United Kingdom)",Please find attached our feedback to the consultation on the proposal for a regulation laying down harmonised rules on Artificial Intelligence. This response is submitted on behalf of the Centre for Commercial Law of the University of Aberdeen.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665397_en,16
Confederation of Swedish Enterprise (Sweden),"Confederation of Swedish Enterprise represents 49 sector-member organisations and 60,000 member companies and would like to state the following in light of the European Commission’s consultation on the artificial intelligence act, AIA. Confederation of Swedish Enterprise - welcomes the approach to protecting the users of AI systems and creating trust in the use of AI - criticize the proposal as it has extensive negative consequences for...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665395_en,16
Związek Cyfrowa Polska (Poland),"W związku z prowadzonymi konsultacjami w sprawie w sprawie Rozporządzenia Parlamentu Europejskiego i Rady Ustanawiającego zharmonizowane przepisy dotyczące sztucznej inteligencji (Aktu w sprawie sztucznej inteligencji) i zmieniającego niektóre akty ustawodawcze Unii z dnia 21.4.2021 r., przedstawiam w załączeniu stanowisko Związku Cyfrowa Polska, reprezentującego polski sektor cyfrowy i nowych technologii.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665383_en,16
Kammer für Arbeiter und Angestellte für Wien (Austria),"Dear Madam, Dear Sir, Enclosed you will find the statement from the Vienna Chamber of Labor. The Federal Chamber of Labor (BAK) is the legal representation of the interests of around 3.7 million employees and consumers in Austria. It represents its members in all social, educational, economic and consumer policy matters at national and EU level. In addition, the BAK is part of the Austrian social partnership. Chamber for workers and...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665345_en,16
AstraZeneca (Belgium),"AstraZeneca (AZ) welcomes the proposed draft Artificial Intelligence (AI) Act and believes that harmonised EU rules on AI can pre-empt a possible fragmentation of the single market and foster the safe and responsible development, use, and uptake of AI in the European Union. Tightening the definition of ‘AI’ and ‘Systems’ to exclude legacy activities: The language used to define AI in the draft legislation is very broad and includes all...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665331_en,16
Netherlands Normalisation Institute (NEN) (Netherlands),The Medical Device / AI Expert Group (MD-AIG) established by Netherlands Normalisation Institute (NEN) welcomes the European Commission’s (EU) proposal for a Regulation laying down harmonised rules on Artificial Intelligence to ensure the safety and security of European consumers in the area of Artificial Intelligence. Attached document provides full feedback on the AI Act seen from the medical device sector perspective and an analysis of the...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665329_en,17
Laboratoire national de métrologie et d'essais (LNE) (France),"In the context of the European Commission's call for opinions on its proposed regulation on artificial intelligence (the so-called ""AI Act""), the LNE thought it would be useful to communicate a number of remarks which are presented in the document attached.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665323_en,17
Gesamtverband der Deutschen Versicherungswirtschaft e. V. (Germany),Please find our position in the attached position paper.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665321_en,17
Finnish Center for Artificial Intelligence (Finland),"The highly commendable goal of the proposed act is to provide a legal framework in Europe that encourages innovation and investments in artificial intelligence, while ensuring that the results are lawful, safe and trustworthy, respecting human rights. In order to reach this goal, the legal framework needs to be understandable, transparent and adequately measured. In its proposed form, the act does not properly fulfill these requirements. The...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665315_en,17
Ministry of Local Government and Modernisation (Norway),See attachment.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665314_en,17
University of Central Lancashire Cyprus campus (Cyprus),"The Regulation is an important step towards ensuring that AI is used in a transparent manner, abiding to specific qualitative requirements. Nevertheless, the Regulation in its current from appears disassociated with other initiatives which also touch upon AI, while not doing enough to capture a bigger picture of the impact of AI. The Regulation does not clarify how it interacts with the Digital Services Act (DSA) in relation to the AI...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665299_en,17
BIL Sweden (Sweden),"BIL Sweden is thankful for the opportunity by the Commission to submit comments on the proposed AI Act, and is pleased to be available for further discussions or any clarifications. Attached please find BIL Sweden’s response to the European Commission’s public consultation on ”Proposal for a regulation of the European Parliament and of the Council laying down harmonised rules on artificial intelligence (Artificial Intelligence Act) and...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665297_en,17
"Data, AI and Robotics aisbl (Belgium)","BDVA/DAIRO welcomes the opportunity to provide feedback to the European Commission’s proposal for AI Regulation as there is a clear need for a solid AI European approach based on European values. BDVA/DAIRO supports the idea that there should be a balance between regulation and innovation, and that new rules should facilitate investment and innovation. For this reason, the specific objective of the proposed regulatory framework to “ensure...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665296_en,17
European Test Publishers Group (ETPG) (Switzerland),"The European Test Publishers Group (ETPG) was founded in 1991. It’s a not-for-profit industry body, focused on improving psychological assessments and their impact on European society. 27 European psychological test publishers are members. They are required to meet legal and professional distribution standards and scientific development methods. They meet annually to look at ways our industry can reflect changing ethical, professional, and...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665293_en,17
Bitkom e.V. (Germany),"Dear Madam/Sir, attached you find the Bitkom position regarding the AI Act proposal. Best regards Lukas Klingholz & David Adams",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665292_en,17
ETSI (France),"ETSI welcomes the draft Regulation on AI presented by the European Commission (EC) at https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52021PC0206. The draft Regulation builds on the processes of the New Legislative Framework (NLF) putting harmonised European Standards into the focus of demonstrating compliance with the regulatory requirements. This is in line with the view of ETSI that ""The NLF should be used for technical...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665289_en,18
Anonymous (France),This proposal for a legal act has option 3 towards establishing ''MANDATORY REQUIREMENTS'' instead of ''PROHIBITION or OBLIGATIONS''. Eu is not a technology organisation to specify procurements or standards or ''encouraging the development of standards'' to be for the sole EU island. The standards are found & recognized to be the best worldwide . This wireless law is based among other things ''on delegated acts to be adopted under the...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665287_en,18
Thorn (United States),"Thorn welcomes the opportunity to provide feedback on the Commission's proposal for artificial intelligence regulation. Thorn is a US-based nonprofit organization that builds technology to defend children from sexual abuse and online exploitation. At Thorn, we believe in the power and potential of government, NGOs, and tech companies working together to eliminate child sexual abuse material online. That goal cannot be achieved by just one of...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665284_en,18
ACT | The App Association (Belgium),Please find attached the feedback of ACT | The App Association (Transparency Reg. # 72029513877-54) to the European Commission’s proposed Artificial Intelligence Act. Anna Bosch Policy Associate ACT | The App Association (Transparency Reg. # 72029513877-54) Rue de Trèves 45 B-1040 Brussels,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665281_en,18
5Rights Foundation (United Kingdom),"5Rights Foundation warmly welcomes the aims of the AI Act to ensure the development, marketing and use of artificial intelligence in conformity with Union values and a high level of protection of health, safety and fundamental rights. In particular the provisions in Recital 28, Article 5.1 and Article 9 together make for ground-breaking legislation, which both recognises and defends children’s existing rights in the digital world, in line...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665266_en,18
"Federal Ministry for Social Affairs, Health, Care and Consumer Protection (Austria)","Eine rechtliche Regulierung von KI-Systemen ist dringend notwendig. Das AIA wird daher grundsätzlich begrüßt, bedarf aber einer ausführlichen Diskussion insb aus Sicht der betroffenen Konsument*innen. Der risikobasierte Ansatz ist sinnvoll, berücksichtigt aber leider keine wirtschaftliche Risiken. Dies greift zu kurz, wenn man an zunehmendes personalisiertes Marketing/Profiling denkt, einschließlich personalisierter Preise. Konsument*innen...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665262_en,18
Adigital (Spain),Please find attached Adigital´s contribution to the European Commission´s proposal on the Artificial Intelligence Act,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665260_en,18
Wikimedia (FKAGEU) (Belgium),"Wikimedia operates a number of online platforms that offer access to and re-use of the world's largest freely available datasets. These are used widely as training data for machine learning algorithms. Wikimedia also develops and operates machine learning algorithms, mainly with the goal to make volunteer editors' work more efficient. One such example is ORES (https://www.mediawiki.org/wiki/ORES), a service that helps detect vandalism on...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665256_en,18
COV (Christelijk Onderwijzersverbond) (Belgium),Attached you can find COV's position on the European Commission's proposal on the Artificial Intelligence Act. We thank the EC for giving us the opportunity to give feedback.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665252_en,18
industriAll European Trade Union (Belgium),"IndustriAll Europe welcomes the European Commission’s draft regulation on AI, as it is the first proposal of its kind and will set new standards when it comes to addressing the challenges of high-end technology and human rights implications. We appreciate the opportunity to provide feedback on the draft regulation. Although we share doubts, with other trade unions and civil rights organisations, that the risk-based approach is fit for...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665249_en,18
"Centre for Democracy & Technology, Europe (Belgium)","The Centre for Democracy & Technology, Europe (CDT) welcomes the EU AI Act and the high priority it aspires to give to protecting fundamental rights. All AI systems should be subject to a human rights impact assessment and subject to regulation proportionate to the risks identified in that assessment. A risk-based approach can be helpful in ensuring proportionate regulation, but in order to appropriately protect human rights, this needs to...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665242_en,19
SAP (Belgium),"Attached please find SAP’s position on the European Commission’s proposal on the Artificial Intelligence Act. We thank the Commission for the opportunity to share feedback, and look forward to a continued dialogue on a future-proof, balanced and risk-based AI regulation in the EU.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665235_en,19
European Digital Rights (EDRi) (Belgium),"European Digital Rights (EDRi) is Europe’s biggest network defending rights and freedoms online. EDRi welcomes the European Commission’s globally significant step towards regulating the development and deployment of artificial intelligence systems. However, we would like to make suggestions to ensure that the AI Act is in line with the Charter of Fundamental Rights of the EU, future proof, and a role model for rights-protective future AI...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665234_en,19
Workday (United States),"Workday’s response to the European Commission’s proposal for regulation on artificial intelligence (the AI Act) draws on our contributions to the Commission’s preparatory consultations as well as earlier work developing Ethics Guidelines for Trustworthy AI. We highlight important areas of alignment between the Act and Workday’s January 2021 white paper in which we proposed a horizontal approach to regulation, self-assessment, life-cycle...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665233_en,19
OpenAI (United States),The attached submission from OpenAI provides feedback on the Proposal for a Regulation of the European Parliament and of the Council Laying Down Harmonised Rules on Artificial Intelligence and Amending Certain Union Legislative Acts. We previously submitted feedback on the White Paper on Artificial Intelligence and feedback on the Ethics Guidelines for Trustworthy AI’s Technical Robustness and Safety section; we will draw from our previous...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665231_en,19
Biogen (United States),"We welcome the Commission’s first ever legal framework on AI and its goal to promote Europe’s innovation capacity in AI, which has the potential to speed drug development and improve healthcare outcomes across the continent. We support a risk-based approach to AI with an oversight proportionate to the intended use and led by defined risk categories. Biogen supports the Commission’s approach to regulate AI based on risk, overall acknowledging...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665227_en,19
ASF - ASSOCIATION FRANCAISE DES SOCIETES FINANCIERES (France),L’Association française des Sociétés Financières (ASF) représente les métiers de financement spécialisé en matière de crédit ainsi que les services financiers et d’investissement. Les établissements membres de l’ASF financent plus de 20 % des crédits au secteur privé. Observations liminaires L’Association française des Sociétés Financières (ASF) accueille avec intérêt la consultation publique lancée en avril dernier sur le projet de...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665226_en,19
eco - Verband der Internetwirtschaft e.V. (Germany),"About eco: With over 1,100 member companies, eco is the largest Internet industry association in Europe. Since 1995 eco has been instrumental in shaping the Internet, fostering new technologies, forming framework conditions, and representing the interests of members in politics and international committees. eco’s key topics are the reliability and strengthening of digital infrastructure, IT security, and trust, ethics, and self-regulation...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665225_en,19
European Society of Radiology (Austria),"The European Society of Radiology (ESR) welcomes the European Commission’s initiative to create the first AI regulation worldwide. However, it recognises the importance of taking into account the specificities of the healthcare field, which require a specific regulatory approach for AI, complementing the currently proposed horizontal, cross-sector regulation. Also, a detailed definition of AI in healthcare is needed in order to be able to...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665222_en,19
Oxford Commission on AI and Good Governance (United Kingdom),"Submission by the Oxford Commission on AI and Good Governance (OxCAIGG) The Oxford Internet Institute, University of Oxford. Contact: Professor Philip Howard: Philip.howard@oii.ox.ac.uk. Lisa-Maria Neudert: Lisa-maria.neudert@oii.ox.ac.uk Summary: A list of questions for consideration and reflections on views on AI in EU MS. A look at the interplay between regulation and digital technical standards. An overview of skills and capacity for...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665221_en,19
Italian Banking Association (Italy),"Il documento rappresenta il contributo dell'Associazione Bancaria Italiana (ABI) al dibattito in tema di Intelligenza Artificiale ed è stato redatto con l'attivo contributo dei gruppi di lavoro composti dalle banche associate e da esperti in materia. Nel ringraziare per l'opportunità, rimaniamo a disposizione per ogni approfondimento. Con i migliori saluti, Silvia Attanasio",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665210_en,20
European Association of Hospital Pharmacists (Belgium),"The European Association of Hospital Pharmacists (EAHP) welcomes this legislation proposal on the ethical and legal requirements on Artificial Intelligence (AI). The proposed regulation lays down a set of harmonised rules for the development, placement on the market and use of AI systems in the Union, this is particularly important (as explained in the proposal) for systems that can pose signifiable risks on the health of citizens. EAHP also...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665208_en,20
Alliance for Internet of Things Innovation (AIOTI) (Belgium),"The Alliance for Internet of Things Innovation (AIOTI) appreciates the use of a Regulation as a legal instrument to help building an EU digital Single Market for trustworthy AI and to avoid regulatory fragmentation. AIOTI welcomes the risk-and New Legislative Framework (NLF) based approach and to introduce specific rules for specific uses, rather than legislating the technology as such. We recommend that this framework is maintained during...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665207_en,20
German Education Union (GEW) (Germany),"The German Education Union (Gewerkschaft Erziehung und Wissenschaft, GEW) supports the position of the European Trade Union Committee for Education (ETUCE) on the EU Regulation on Artificial Intelligence.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665205_en,20
Hub France IA (France),"Le Groupe de travail Banque et Auditabilité du Hub France IA, qui regroupe des experts IA de trois grandes banques françaises, BNP Paribas, la Banque Postale et Société Générale, souhaite apporter une réponse à la Commission Européenne dans le cadre de la consultation ouverte sur le projet de régulation des systèmes IA. Les membres du groupe de travail soulèvent un ensemble d’interrogations et apportent des cas d’exemples de systèmes IA...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665170_en,20
