Organization,Feedback Content,Feedback Link,Page,Feedback reference,Submitted on,Submitted by,User type,Organisation,Organisation size,Transparency register number,Country of origin,Initiative,Additional Message
CEA (France),"CEA welcomes the opportunity to provide feedback on the Commission’s Inception Impact Assessment for a European legal act aimed at addressing the ethical and legal issues raised by AI. We welcome the initiative objectives, in particular the intention to create a harmonised framework in order to reduce burdensome compliance costs derived from legal fragmentation. It is worth noting, a trustworthy AI as explained in HLEG on AI is at the same...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550327_en,11,F550327,08 September 2020,Armand NACHEF,Academic/research Institution,CEA,Large (250 or more),52774696782-43,France,Artificial intelligence – ethical and legal requirements,"CEA welcomes the opportunity to provide feedback on the Commission’s Inception Impact Assessment for a European legal act aimed at addressing the ethical and legal issues raised by AI. We welcome the initiative objectives, in particular the intention to create a harmonised framework in order to reduce burdensome compliance costs derived from legal fragmentation.

It is worth noting, a trustworthy AI as explained in HLEG on AI is at the same time a lawful, an ethical, and a robust AI. It takes into account all the concerns reflected in the trustworthy AI assessment list such as technical robustness, safety, security, privacy, traceability, explainability, auditability, in addition to diversity, non-discrimination, fairness, and respectability of fundamental rights. Actually, there is no need for an entirely new legislation, as current European legislation and standards already address many of these concerns. However, they may have some gaps that need to be filled.

Below are our comments on the outlined legislative options.

- Option 1 - non-legislative approach to facilitate and spur industry-led intervention:
option 1 is probably convenient for low-risk AI solutions. However, there is a need of a minimum legislation that classifies the solutions according to their level of risk. Self-reporting of compliance with the HLEG ethical guidelines must remain verifiable and auditable by law. The Commission's support and encouragement of industry-led intervention towards trustworthy AI is very important, however in no case can this replace the enforcement of legislations that define the responsibilities and obligations of AI solution stakeholders. 

- Option 2 - legislative instrument setting up a voluntary labelling scheme:
the diversity and multiplicity of uses of AI applications may make it very hard to have a simple labelling for applications with variable risks. On the other hand, a multitude of labelling depending on the use cases could be difficult to understand by the consumer. Particular attention should be paid to the concept of labelling that may lead to dangerous issues: labelling must always be carried out against a charter verifiable by a third party. Self-labelling involves too much risk with regard to its verification. CEA is not in favour of this option.

- Option 3a: legislation for a specific category of AI applications only, notably remote biometric identification systems:
biometric identification systems must be subject to strong legislation. However, CEA considers it is more efficient to put in place a legislative instrument that applies to all AI applications and that modulates according to the AI application risk aspects.

- Option 3b: legislation establishing mandatory requirements for “high-risk” AI applications.
“High-risk” AI applications should not be binary; there must be a gradation of risks as in all sectors with a safety or security aspect. Different rules adapted to the application risk levels (like those in the IEC 61508 standard) are needed.

- Option 3c: the EU legislative act could cover all AI applications.
CEA supports option 3C. Laws and standards cover all human activity, but this does not prevent creativity, innovation and freedom of expression. On the contrary, the absence of laws and therefore an increase of incidents combined with a legal vacuum may impede the AI development and deployment.

In summary, CEA supports option 3C; however, legislation should consider an AI application like any software application. We cannot blame the AI: following the use case, the application providers, issuers, operators, or users are responsible for a malfunctioning of the applications.

Finally, changes in the system may regularly occur, thus the requirements of trustworthiness will be too light without a continuous risk assessment. There is a real need for more R&D in the risk area in order to conceive and create continuous risk assessment processes."
CLEPA (European Association of Automotive Suppliers) (Belgium),"Automotive suppliers play a central role in the development of connected and automated vehicles. AI applications are becoming more and more common in cars: automated driving is the most well-known example, but a broad range of other applications are also concerned, such as many vehicle safety functions, comfort functions, advanced driver-assistance systems warnings, connectivity systems, infotainment systems, etc. CLEPA welcomes the AI White...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550322_en,11,F550322,08 September 2020,William Moreau,Business association,CLEPA (European Association of Automotive Suppliers),Small (10 to 49 employees),91408765797-03,Belgium,Artificial intelligence – ethical and legal requirements,"Automotive suppliers play a central role in the development of connected and automated vehicles. AI applications are becoming more and more common in cars: automated driving is the most well-known example, but a broad range of other applications are also concerned, such as many vehicle safety functions, comfort functions, advanced driver-assistance systems warnings, connectivity systems, infotainment systems, etc.
CLEPA welcomes the AI White Paper, and believes that an appropriate legislative framework can boost the development and uptake of AI by providing market participants more legal certainty and by ensuring consumer trust. We support the risk-based approach outlined in the Paper as it is more likely to ensure proportionality.
We stress the importance of not hindering innovation unnecessarily. Requirements should always remain proportionate to the risks and leave room for testing/experimenting. A balance must be achieved to ensure that the goals of this new initiative do not jeopardise the development of safer vehicles.
CLEPA supports setting up horizontal fundamental principles on AI to increase trust and ensure the necessary level playing field between market players. Nevertheless, automotive suppliers would prefer a sector-based approach for the upcoming regulatory framework and its compliance mechanism. Our sector is very specific and should not be covered by a one-size-fits-all cross-sectoral legislation which would not be adapted to the way automotive products are developed, produced, tested, and put on the market. Indeed, our sector is already subject to strict ex-ante conformity controls, such as the type approval process. AI-related requirements for our sector should be included into that existing framework rather than as a new set of requirements controlled separately. Certification, testing, and market surveillance should not be duplicated. Aside from the additional costs and administrative burden, it would create a risk of inconsistencies arising between the requirements under type approval and those under the AI framework, as both would cover safety and AI applications in automotive are deeply integrated in the vehicles’ systems.
Workstreams should be coordinated to avoid duplication and/or conflicting requirements. Discussions on automated driving are ongoing at the UNECE. The EU’s recently revised General Safety Regulation also introduced new safety measures, some of which may rely on AI. The delegated and implementing acts that will set the technical requirements for these measures are currently being drafted. The EU legislative framework on AI and the UNECE requirements for Automated Driving Systems should be aligned, with future UNECE requirements to be considered valid AI-related requirements, instead of adding another regulatory layer.
Regarding the policy options outlined in the Impact Assessment, we support leaving room for industry-led initiatives (option 1). We are also open to the creation of voluntary labelling scheme(s) (option 2), however, it is difficult to fully support such an initiative without knowing how it would be implemented practically. Before any type of labelling scheme can be introduced, transparent rules and metrics based on international standards should be agreed upon. The HLEG’s assessment list provides an interesting basis, but is not sufficiently adapted to the automotive sector’s specificities. National labelling schemes should be avoided.
We believe that option 3.2 (EU legislative instrument limited to high-risk applications) would be the most compatible with the existing regulatory framework for automotive products. We support mandatory requirements for safety-critical AI applications related to automated driving (SAE level 3 and above), so long as they are integrated into the type approval system, as mentioned above. On the other hand, non-safety-related applications (e.g. comfort functions, driver assistance systems, infotainment…) should clearly be considered low-risk."
"AMETIC AMETIC (ASOCIACIÓN MULTISECTORIAL DE EMPRESAS DE LA ELECTRÓNICA, LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN, DE LAS TELECOMUNICACIONES Y DE LOS CONTENIDOS DIGITALES) (Spain)","Scope ○ We caution the Commission on considering to significantly expand the scope of the future AI regulation to the open ended category of “automated decision making” This would go against the initial, thoughtful direction proposed in the AI whitepaper that proposes to focus on the risk-based, double-criterion for sectorial and application/use-based AI technologies. If AI were defined as “automated decision making” for the purpose of the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550315_en,11,F550315,08 September 2020,Antonio CIMORRA,Business association,"AMETIC AMETIC (ASOCIACIÓN MULTISECTORIAL DE EMPRESAS DE LA ELECTRÓNICA, LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN, DE LAS TELECOMUNICACIONES Y DE LOS CONTENIDOS DIGITALES)",Small (10 to 49 employees),013076816891-46,Spain,Artificial intelligence – ethical and legal requirements,"Scope 
○ We caution the Commission on considering to significantly expand the scope of the future AI regulation to the open ended category of “automated decision making” This would go against the initial, thoughtful direction proposed in the AI whitepaper that proposes to focus on the risk-based, double-criterion for sectorial and application/use-based AI technologies. If AI were defined as “automated decision making” for the purpose of the future AI regulation, it would create unproportional, unjustified regulatory obligations that would not only deter development and deployment of AI-based applications in Europe, but also automated systems that do not pose any risk nor harms. 
○ Definition of immaterial harm: We reiterate the concerns around introducing the open-ended concept of “immaterial harm” into the future AI legislation. We propose as an alternative to refer to “significantly restricting the exercise of fundamental rights”.

Policy options
○ Option 0 (baseline): We do believe that there is merit in ensuring that the existing EU regulation is properly implemented with regards to AI before putting in place any new prescriptive AI-specific rules. 
○ Option 1 (industry-led intervention): No matter what policy options are pursued, lending support to the industry in establishing and implementing norms of responsible practices and sharing best practices is worthwhile. 
○ Option 2 (legislation on voluntary labelling): We remain skeptical on the impact of a labelling scheme on the uptake of trustworthy AI in Europe. An administrative burden on SMEs to comply with the onerous labelling obligations -- if drafted on the basis of the update Assessment List for Trustworthy AI from the EU AI HLEG-- could significantly outweigh the benefits of such a scheme.
○ Option 3 (legislation with mandatory requirements): Overall, the opportunity cost of not using AI should be part of the assessment when considering any future legislation aiming to reduce  risk and harms from the use of AI applications. Legislation should ensure legal certainty, be proportionate and increase trust in AI without unduly hindering AI-driven innovation.
- Remote biometric identification systems may be a good example of an application to which mandatory requirements could be applied in a risk-based framework.
- We support a well-defined risk-based approach to the AI regulation that takes into account both the severity and likelihood of harm. A sector and use/application base criteria -- as proposed by the EC’s whitepaper -- at large seem to be a good starting point.
- We strongly caution against an EU legislative act for all AI applications, that would make no distinction between the AI applications that can pose significant risk/harm and those with no or lower risk profile. Such a legislative instrument would be significantly unproportional to the problems so far identified by the European Commission, create significant barriers for AI adoption (additional costs, delay, administrative burden) in Europe, result in opportunity costs in some applications due to lack of AI implementation, and risk lowering the bar for those AI applications that are very likely to raise significant risks. 
Enforcement
○ We support the ex post enforcement for when problems arise as the most appropriate and proportionate mechanism, except in fields where ex-ante assessments are already established practice. In those situations, we recommend aligning any ex-ante assessment with existing procedures.
○ If the Commission insists on the ex-ante enforcement, we strongly caution against a third party ex-ante assessment and recommend instead self-assessment procedures based on clear “due diligence” guidance from the regulators. A practical approach would be for regulators to provide detailed templates and guidance on how to carry out and document the risk assessment, but delegate responsibility to those using and most familiar with the AI system to conduct an accurate assessment."
ACV-CSC Belgium (Belgium),"The ACV-CSC-Belgium Congress on the Future of Work - #Arbeidmorgen, #Queltravaildemain, #Arbeitmorgen - gathered in October 2019 more than 850 delegates for the adaption of its final conclusions. Thousands of members of ACV-CSC-Belgium participated before in a process of preparation and elaboration of the political guidelines and lines of action for this congress. Issues as the digital and the socioecological transitions were at the top of the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550259_en,11,F550259,08 September 2020,Thomas MIESSEN,Trade union,ACV-CSC Belgium,Large (250 or more),80866452991-55,Belgium,Artificial intelligence – ethical and legal requirements,"The ACV-CSC-Belgium Congress on the Future of Work - #Arbeidmorgen, #Queltravaildemain, #Arbeitmorgen - gathered in October 2019 more than 850 delegates for the adaption of its final conclusions. Thousands of members of ACV-CSC-Belgium participated before in a process of preparation and elaboration of the political guidelines and lines of action for this congress. Issues as the digital and the socioecological transitions were at the top of the agenda of this congress on the Future of Work. The document in attachment resumes its political guidelines. The chapters #2 to #6 focus very much on AI and technology, and their impacts for labor. The chapters #19 and #20 concern the working conditions in the global supply chains and the giants of the Web. A fundamental baseline of the demands of this congress document is that strong regulation is needed if we really want to shape the future world of work and our democracy positively: Without rights, rules and responsibilities, there is no way forward. That's evidently also the position we defend together with the Trade Unions from all Europe united in the European Trade Union Confederation (ETUC), more specifically and most recently on AI in the ""Resolution on the European strategies on artificial intelligence and data"" approved by its Executive Committee on the 2nd of July 2020:  https://www.etuc.org/sites/default/files/document/file/2020-07/Adopted%20-%20ETUC%20resolution%20on%20%20the%20European%20strategies%20on%20artificial%20intelligence%20and%20data%20-%20EN.pdf"
Verbraucherzentrale Bundesverband (Federation of German Consumer Organisations - vzbv ) (Germany),Please see the attached statement,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550245_en,11,F550245,08 September 2020,Miika Blinn,Consumer organisation,Verbraucherzentrale Bundesverband (Federation of German Consumer Organisations - vzbv ),Medium (50 to 249 employees),2893800753-48,Germany,Artificial intelligence – ethical and legal requirements,Please see the attached statement
Access Now Europe (Belgium),"Access Now opposes the uptake of AI as an objective for a potential regulatory intervention. Our opinion on a legislative proposal will be based on the assessment of whether it ensures adequate safeguards for the protection and promotion of fundamental rights including societal impacts. All points outlined here are dealt with more substantially in our White Paper response, uploaded here. Access Now recommends regulatory option 4 to combine...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550212_en,11,F550212,08 September 2020,Daniel Leufer,Non-governmental organisation (NGO),Access Now Europe,Micro (1 to 9 employees),241832823598-19,Belgium,Artificial intelligence – ethical and legal requirements,"Access Now opposes the uptake of AI as an objective for a potential regulatory intervention. Our opinion on a legislative proposal will be based on the assessment of whether it ensures adequate safeguards for the protection and promotion of fundamental rights including societal impacts. All points outlined here are dealt with more substantially in our White Paper response, uploaded here.

Access Now recommends regulatory option 4 to combine options 3.1 and 3.3. The EU legislative instrument should have one part to cover all AI applications (3.3) in order to enforce a basic level of transparency and due diligence, and a further component to focus on specific categories of AI applications (3.1) for which there should be an outright ban. We expand on these distinctions below.

On the provision for all AI applications (3.1), we note that all private companies have existing responsibilities to carry out human rights due diligence. Large companies have resources to do this, and through the establishment of national centres of expertise, SMEs can be helped to carry out due diligence procedures for all AI applications. 

For all public sector usage of AI applications, human rights impact assessments (HRIAs) should be carried out, and the results and technical details made available in public registers of AI systems. Such registers should contain publicly accessible information about all AI systems being used or proposed for use in the public sector. Further, a mechanism must be established for contesting the results of impact assessments. In all cases, the possibility of scrapping or not using the system in question must be on the table, if the result of a HRIA shows that the system undermines the fundamental rights of those affected by it.

The legislative instrument must also contain provisions for a ban on certain applications of AI. As Access Now has repeatedly stated, a ban is necessary where mitigating any potential risk or violation is not enough and no remedy or other safeguarding mechanism could fix the problem. We provide details in our uploaded document.

Additional points:
The document overstates the case when it says that AI can “contribute to a wide array of economic and societal benefits across the entire spectrum of industries and social activities.” We have no evidence that AI can make meaningful contributions “across the entire spectrum” and overselling the positive impact of this technology is ultimately harmful and undermines trustworthiness as those expectations cannot be met. 
On the definition of ‘AI’, we believe that the important thing is to regulate the impacts of the technology, rather than the specific technical processes underlying machine learning or neural networks, for example. Where the specific functioning of a given system requires some special consideration, it should be given, but otherwise we must look at AI as a form of automation and apply generally applicable measures.
We support the acknowledgement that SMEs must also fall under the scope of legislation due to the scalability of AI applications. We further note that some of the most harmful developments in AI have come from SMEs and ‘innovative startups,’ such as Clearview AI and PimEyes, both of whom develop surveillance systems which are incompatible with fundamental rights.
The document mentions that “not a lot of currently valid evidence is available at this stage” for the effects of AI systems. This is not the case. Access Now has already provided the Commission with such evidence, and a new report from Algorithm Watch adds more in relation to Covid-19:  'Automated Decision-Making Systems in the COVID-19 Pandemic.'
The document mentions targeted consultations organised with “technical experts, conformity assessment bodies, standardisation bodies and experts on biometric data.” We request that consultations also be arranged with civil society organisations and with representatives of groups likely to be adversely affected by these systems."
Hutchison Europe (Belgium),Please see attached document.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550209_en,11,F550209,08 September 2020,John BLAKEMORE,Company/business,Hutchison Europe,Large (250 or more),3779891566-57,Belgium,Artificial intelligence – ethical and legal requirements,Please see attached document.
David D'Haese (Belgium),"Dear, I am a teacher in AI at the AP University College in Antwerp particularly concerned with ethical issues. My idea is that Europe should postpone any legislation concerning ethics in AI, as enforcement of such a future law is expected to be not practical and possibly even counterproductive. Instead, I would imagine that devising and evangelising a clear set of moral rules comparable to Asimov's three 'laws' of robotics would have a real...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F549988_en,11,F549988,07 September 2020,David D'Haese,EU citizen,,,,Belgium,Artificial intelligence – ethical and legal requirements,"Dear,

I am a teacher in AI at the AP University College in Antwerp particularly concerned with ethical issues. My idea is that Europe should postpone any legislation concerning ethics in AI, as enforcement of such a future law is expected to be not practical and possibly even counterproductive. Instead,  I would imagine that devising and evangelising a clear set of moral rules comparable to Asimov's three 'laws' of robotics would have a real impact and pave to way for future legislation. Europe is currently considered one of the few remaining moral leading institutions in the world and with the propagation of such rule-set, it would reïnforce its position."
European Trade Union Confederation (Belgium),"IIA provides additional but still general information on options the EC intends to consider for legal act on AI. IIA still lacks to address the specificity of the workplace. Imbalance of power between employers and workers should lead EC to consider robust AI frame to create quality jobs, invest in workers AI literacy, promote and increase safeguarding of workers rights, of workers protection, consider risks/benefits related to OSH and ensure...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F548980_en,12,F548980,03 September 2020,Ignacio DORESTE,Trade union,European Trade Union Confederation,Large (250 or more),06698681039-26,Belgium,Artificial intelligence – ethical and legal requirements,"IIA provides additional but still general information on options the EC intends to consider for legal act on AI. IIA still lacks to address the specificity of the workplace. Imbalance of power between employers and workers should lead EC to consider robust AI frame to create quality jobs, invest in workers AI literacy,  promote and increase safeguarding of workers rights, of workers protection, consider risks/benefits related to OSH and ensure trade unions and workers reps participate actively shaping AI at work. The framework should address these labour approaches in ambitious and proactive manner because workers are particularly concerned by AI

AI is key issue for work and society. It brings opportunities and challenges. In the field of work AI supports often or replaces humans in dangerous, strenuous, and repetitive tasks. Yet there are risks of intrusive surveillance, breach of privacy and data protection and fundamental rights. ETUC thus supports the objective of the potential legal act of fostering development of safe and lawful AI that respects and enforces rights

Liability regime of AI applications at work deserves proper attention where burden of proof should lie on employers to balance limited access to information to workers. Liability should rest on AI designers and business not on AI

ETUC calls for EU legislative instrument with mandatory requirements for all AI, option 3c. Regulating AI cannot be given to private actors. This would lead to wide differentiation on protection, with bias for putting on the market AI based on productivity and competitiveness. EC should fill this gap and enact new EU law implemented through national legislation and/or where relevant collective agreements. Respect of human rights instruments and CFREU should lead any legislative proposal. Ethics Guidelines for Trustworthy Artificial Intelligence should be included in regulation

AI applications introduced at the workplace and impacting workers rights and working conditions should be classified as high-risk

Regarding preliminary assessment of expected impacts, legislation in general and any legally binding act on AI in particular should be addressed in positive manner, as a medium/long term investment in society and its people, where public interest and interests of society outweigh interests of few groups. IA impact assessment should address economic, social, and environmental dimensions on same footing and with same details and accuracy. ETUC believes an EC framework would serve businesses and the workforce, providing legal predictability and certainty and sound level playing field for all. ETUC opposes to exceptions to scope of legal act on the size of the company. Particularly for AI systems applying to employment, level playing field in matters of the guaranteeing fundamental rights and labour rights should be pursued

Concerning expected social impacts, and because of imbalance of power existing in an employment relationship, legal framework should address needs for workers to guarantee through appropriate legislation and collective agreements respect and enforcement of their rights when AI is introduced/implemented. This is crucial to prevent discrimination, abuse of privacy and guarantee data protection, security and OSH

AI will have impact on labour market in terms of the replacement of some jobs, while creating new ones. Challenge is to shape an inclusive transition to fair digital future by minimising the risks and creating opportunities for workers. Precautionary principle should be applied to avoid digitalisation further splits society and exacerbates more unequal distribution of wealth

Regarding the likely impacts on fundamental rights, ETUC strongly believes that only binding requirements will strengthen respect of existing fundamental rights for all AI. The current assessment of the impacts of the EU different options on fundamental rights is vague and superficial. Should be addressed in equal manner as economic."
Software AG (Germany),"Software AG highly welcomes the Commission's objective to increase trust in AI thus fostering not only its use but also its development in Europe. We share the Commission's view that while AI can do much good, some of its uses and applications may cause both material and immaterial harm. Like the Commission we believe that trust is a precondition for the success of AI and that this objective can be best reached at Union level. As stated by the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F547524_en,12,F547524,01 September 2020,Fabian SCHMIDT,Company/business,Software AG,Large (250 or more),253418726919-22,Germany,Artificial intelligence – ethical and legal requirements,"Software AG highly welcomes the Commission's objective to increase trust in AI thus fostering not only its use but also its development in Europe. We share the Commission's view that while AI can do much good, some of its uses and applications may cause both material and immaterial harm. Like the Commission we believe that trust is a precondition for the success of AI and that this objective can be best reached at Union level. As stated by the Commission, a public intervention can be one way to increase trust in AI both for citizens as well as for businesses. However, we share the Commission's view that there is a natural conflict between the benefits of a regulation on the one hand and its compliance costs on the other: the larger the scope, the higher the costs. As the Commission itself points out, this natural conflict may lead to the situation where some desirable AI systems may not be developed at all. To prevent the public intervention from such an unintended outcome, a balanced approach is needed.

Against this context, Software AG endorses option 3a. From our point of view, option 3a fulfills best the requirement for a balanced approach increasing trust in AI without being prohibitive. For the same reason, Software AG rejects option 1 as well as option 3c. While the former is inappropriate to significantly increase trust in AI, the latter would massively hamper the development and uptake of AI in Europe. Regarding the specific category of AI applications covered by Option 3a, we believe that all those AI applications should be considered that are of outstanding importance to citizens and therefore essential for their trust in AI. In our opinion, this is in particular true for AI applications that entail risks for fundamental rights (e.g. remote biometric identification systems). We share the Commission´s view, that whilst no new rights are needed, some characteristics of AI may hamper the effective enforcement of existing EU law meant to protect fundamental rights. In the implementation of option 3a, we prefer the scenario of co-regulation, where the legislative instrument would consist in high-level principles to be complemented by industry-led norms (e.g. stand-ards or codes of conduct). In our opinion, a mayor advantage of co-regulation is its friendliness for SMEs. As the Commission rightly points out, given the high scalability of digital technologies, SMEs must also be covered by the public intervention.

Apart from the protection of fundamental rights, we see neither the need nor the point for a dedicated regulation for AI. We believe that the vast majority of AI applications do not bear any risks at all and that for the very few high-risk applications adjustments to the existing legal and regulatory framework are absolutely sufficient - if they are not covered by Option 3a anyway. The revisions of the Machinery Directive and of the General Product Safety Liability Directive being prepared offer the opportunity to do so. As emphasized by the Commission, any fragmentation of the Single Digital Market must be prevented. This would not only hamper the uptake of AI in Europe, but above all it would put European AI providers at a serious competitive disadvantage. Software AG therefore welcomes the announced set up of a European governance structure on AI to improve cooperation between (national and European) regulatory authorities thus ensuring an effective and consistent enforcement of rules for AI across Europe."
ANEC (Belgium),"As the European Commission’s assessment of product safety and liability legislation shows, there are gaps in present legislation and new AI related aspects such as explicability require new legal provisions, especially for enforcement purposes. We therefore support Option 3.c: EU legislative instrument establishing mandatory requirements for all applications. The new rules have to cover risks posed by AI systems in a proportionate manner, with...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F547341_en,12,F547341,31 August 2020,Chiara GIOVANNINI,Consumer organisation,ANEC,Micro (1 to 9 employees),507800799-30,Belgium,Artificial intelligence – ethical and legal requirements,"As the European Commission’s assessment of product safety and liability legislation shows, there are gaps in present legislation and new AI related aspects such as explicability require new legal provisions, especially for enforcement purposes. We therefore support Option 3.c: EU legislative instrument establishing mandatory requirements for all applications.
The new rules have to cover risks posed by AI systems in a proportionate manner, with more stringent rules for high-risk applications. The EU regulatory approach on safety should be based and explicitly refer to the precautionary principle. 
We think that new rules should be adopted to make the appropriate risk assessment of all AI systems, taking into account of the nature of the hazard and the likelihood of its occurrence. Based on the assessment results, different rules can be applied in a proportionate manner. 
In order to assess whether the AI system is posing a high or low risk, criteria such as likelihood of the harm occurring, immediacy of the harm, the foreseeable use of the AI system (and not only the intended use which is not covering the potential effects of machine learning) have to be taken into account too. In addition, provisions have to deal with how uncertainties and assumptions impact the risk assessment. Once the risk is identified, mitigating measures have to be adopted (by industry, public authorities). Standards can be used to support the risk assessment. Any assessment, audit, certification, market surveillance activities have to cover the evolving nature of the AI system. For this, access to the AI system algorithms, codes and data sets must be ensured to understand and assess the risks.
About the level of risk, in our view, it is not a question of the kind of AI application as such, but of how to assess the risks posed to consumer protection by AI systems. In addition to cyber risks, personal security risks, risks related to the loss of connectivity and mental health risks, the risks to the environment should not be forgotten. 
We believe that product liability rules should be updated to ensure consumers are protected when they face problems with their digital goods.
We also believe that new consumers rights should be enshrined, for all AI systems, and not only high-risk applications, as follows:
-Right to Transparency, Explanation, and Objection
-Right to Accountability and Control
-Right to Fairness
-Right to Safety and Security
-Right to Access to Justice
-Right to Reliability and Robustness
We think that consumers interacting with AI systems must be able to keep full and effective self-determination/autonomy over themselves. This means securing human oversight over processes in AI systems. AI systems must not create asymmetries of power or information, such as between businesses and consumers. AI systems must not endanger the environment. 
We also suggest adopting the definition of AI provided by the EC HLEG on AI in the ethical guidelines. And to add a definition of ADM-Systems (Automated Decision Making). 
Legislation is needed to determine how and by whom biometrics technology can be used and the guarantees for citizens and consumers. Considering the high risk of abuse, discrimination and violation of fundamental rights to privacy and data protection, the European Union must develop a strong, privacy-protective approach for biometrics systems before they are largely used in public spaces.
Consumer information is useful in order to help transparency. However, labels are only as good as the requirements and enforcement systems on which they are based. Once clear legal rules and enforcement mechanisms are in place, the role of a label could be considered. 
Another important element to address is the inherent information asymmetry associated with AI or an evolving/machine learning system, making the function of a label different from a label linked to traditional, non-AI products (e.g. Ecolabel)."
IBM (Ireland),"IBM welcomes the opportunity to respond to the Commission’s Inception Impact Assessment on the proposed legislative initiative on AI. We welcome the policy Objective and Aims of the initiative, in particular the intent to ensure coherence and complementarity with other possible initiatives, e.g. affecting the Machinery Directive, the General Product Safety Directive or the product liability regime. We support targeted policies that address...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F543855_en,12,F543855,19 August 2020,Barry O'BRIEN,Company/business,IBM,Large (250 or more),7721359944-96,Ireland,Artificial intelligence – ethical and legal requirements,"IBM welcomes the opportunity to respond to the Commission’s Inception Impact Assessment on the proposed legislative initiative on AI. We welcome the policy Objective and Aims of the initiative, in particular the intent to ensure coherence and complementarity with other possible initiatives, e.g. affecting the Machinery Directive, the General Product Safety Directive or the product liability regime. 

We support targeted policies that address companies’ accountability for developing and operating trustworthy AI. Below are our comments on the legislative options outlined.

Option 1: “soft law” approach.
We support this Option for low-risk AI applications.

Option 2: legislation setting up a voluntary labelling scheme.
Voluntary labelling schemes can be helpful to consumers or end-users in some markets but we do not believe a single, one-size-fits-all labelling scheme would be effective across such a broad field as AI, given the hugely diverse range of products and services that will be deployed across all sectors.

Option 3a: legislation establishing mandatory requirements for a specific category of AI applications only, notably remote biometric identification systems.
We support the need for a public dialogue on the use of facial recognition technologies, which could lead to targeted legislation.

Option 3b: legislation establishing mandatory requirements for “high-risk” AI applications.
Legislation should focus on high-risk applications, particularly applications where human autonomy or judgment are substantially ceded to an AI system. There should be a single risk assessment framework to identify high-risk AI, regardless of sector and without lists of exceptions. 
Any mandatory requirements for high-risk AI systems should be addressed to the actors best placed to address the risks. Similarly, liability is best allocated to the actor closest to the risk, as liability is highly context-specific. In a B2B context, contractual liability works well and should be maintained, allowing parties negotiate an efficient allocation of risk that takes account of the specific use case.

Option 3c: legislation covering all AI applications.
We do not support this option as it would significantly hamper the uptake and development of AI in the EU, against the stated Objective and Aims of the initiative.

Option 4: A combination of the options above taking into account the different levels of risk that could be generated by a particular AI application.
We believe the Objective and Aims can best be met with a combination of Options 1, 3a and 3b, implemented through a co-regulatory approach and supported by globally recognized standards and industry-led codes of conduct.

In relation to a European governance structure on AI, we believe that in sectors where established structures already exist (medical devices, aviation etc.) these existing bodies are best placed to cover high-risk AI in their sectors, having the necessary sectoral expertise, operational relationships and track-record with relevant stakeholders. There may be value in a new European mechanism that provides best practice sharing and guidance across sectors, but its scope must be limited and its relationship to existing regulatory bodies clearly defined, so as to avoid fragmentation, inconsistency and the risk of stifling innovation.

In summary, we agree with the need for a consistent EU-wide regulatory framework for trustworthy AI. This will be essential to give stakeholders the confidence to develop and adopt AI-based solutions and realize the enormous benefits they offer.  Building trust requires acknowledging valid concerns that exist regarding accountability, transparency, fairness, privacy and security, and putting in place appropriate regulatory mechanisms to manage those risks, while continuing to promote ongoing innovation and experimentation – getting that balance right requires a precision regulation approach that is clear and targeted."
